Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
99,Calum Chambers,eng ENG,DF,Middlesbrough,21,1995,24,24,2160,24.0,0.04,0.04,0.08,0.04,0.00,0.00,0.17,0.00,0.04,0.04,0.08,0.04,0.08,Matches,dc6f5bdd
100,Ben Chilwell,eng ENG,DFMF,Leicester City,19,1996,12,7,699,7.8,0.13,0.00,0.13,0.13,0.00,0.00,0.26,0.00,0.13,0.00,0.13,0.13,0.13,Matches,d2424d1b
101,Lee Chung-yong,kr KOR,MF,Crystal Palace,28,1988,15,4,471,5.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,49b05a83
102,Jordy Clasie,nl NED,MF,Southampton,25,1991,16,12,1021,11.3,0.09,0.09,0.18,0.09,0.00,0.00,0.27,0.00,0.09,0.09,0.18,0.09,0.18,Matches,31c01b85
103,Adam Clayton,eng ENG,MF,Middlesbrough,27,1989,34,32,2804,31.2,0.00,0.06,0.06,0.00,0.00,0.00,0.32,0.00,0.00,0.06,0.06,0.00,0.06,Matches,45b59689
104,Tom Cleverley,eng ENG,MF,Watford,26,1989,17,16,1441,16.0,0.00,0.13,0.13,0.00,0.00,0.00,0.19,0.00,0.00,0.12,0.12,0.00,0.12,Matches,6cdd8245
105,Tom Cleverley,eng ENG,MF,Everton,26,1989,10,4,406,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6cdd8245
106,Gaël Clichy,fr FRA,DF,Manchester City,31,1985,25,24,2123,23.6,0.04,0.00,0.04,0.04,0.00,0.00,0.08,0.00,0.04,0.00,0.04,0.04,0.04,Matches,450ad405
107,Sam Clucas,eng ENG,MF,Hull City,25,1990,37,36,3185,35.4,0.08,0.03,0.11,0.08,0.00,0.00,0.25,0.03,0.08,0.03,0.11,0.08,0.11,Matches,987718f5
108,Nathaniel Clyne,eng ENG,DF,Liverpool,25,1991,37,37,3323,36.9,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,0442183b
109,Séamus Coleman,ie IRL,DFMF,Everton,27,1988,26,26,2316,25.7,0.16,0.12,0.27,0.16,0.00,0.00,0.12,0.00,0.16,0.12,0.27,0.16,0.27,Matches,0420d84f
110,James Collins,wls WAL,DF,West Ham,32,1983,22,19,1655,18.4,0.11,0.00,0.11,0.11,0.00,0.00,0.16,0.00,0.11,0.00,0.11,0.11,0.11,Matches,c61f1719
111,Lewis Cook,eng ENG,MF,Bournemouth,19,1997,6,4,432,4.8,0.00,0.21,0.21,0.00,0.00,0.00,0.21,0.00,0.00,0.21,0.21,0.00,0.21,Matches,2afc7272
112,Steve Cook,eng ENG,DF,Bournemouth,25,1991,38,38,3420,38.0,0.05,0.00,0.05,0.05,0.00,0.00,0.13,0.00,0.05,0.00,0.05,0.05,0.05,Matches,3e5e4e63
113,Francis Coquelin,fr FRA,MF,Arsenal,25,1991,29,22,1779,19.8,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a6951bf8
114,Jack Cork,eng ENG,MF,Swansea City,27,1989,30,25,2232,24.8,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,Matches,74e12f1e
